Flat number,move in date,due date,Agreed Rental amount,Paid date,amount paid,Paid To A/C,due amount,Electricity bill,maintainence,car park,Washing Machine,misc,damages,,,33,36
C001,07/01/2026,4/5/2026,13000,,,,0,,0,0,,0,0,,Total rent Collected for March,0,7500
C101,06/01/2026,4/5/2026,0,,,,,,,,,,,,Total rent Collected for April,34500,24000
C102,04/01/2026,4/5/2026,21000,,,,,,,,,,,,Total rent Collected for May,34500,0
C201,04/03/2026,4/5/2026,10000,,,,,,,,,,,,,34500,
C202,,4/5/2026,14000,,,,0,,0,0,,0,0,,,14500,
C301,06/17/2026,4/5/2026,10000,,,,,,,,,,,,,14500,
C302,04/01/2026,4/5/2026,14500,,,,,,,,,,,,,,
D001,03/01/2026,4/5/2026,0,,,,0,,0,0,,0,0,,,,
D101,,4/5/2026,0,,,,,,,,,,,,,,
D102,,4/5/2026,0,,,,,,,,,,,,,,
D201,,4/5/2026,0,,,,,,,,,,,,,,
D202,,4/5/2026,0,,,,,,,,,,,,,,
D301,04/01/2026,4/5/2026,9000,,,,,,,,,,,,,,
D302,,4/5/2026,0,3/16/2026,7500,Amma CanaraBank,0,,0,0,,0,0,,,,
C001,07/01/2026,5/5/2026,13000,,,,0,,0,0,,0,0,,,,
C101,06/01/2026,5/5/2026,0,,,,,,,,,,,,,,
C102,04/01/2026,5/5/2026,21000,,20000,,,,,1000,,,,,,,
C201,04/03/2026,5/5/2026,10000,,,,,,,,,,,,,,
C202,,5/5/2026,14000,,,,0,,0,0,,0,0,,,,
C301,06/17/2026,5/5/2026,10000,,,,,,,,,,,,,,
C302,04/01/2026,5/5/2026,14500,,14500,,,,,,,,,,,,
D001,03/01/2026,5/5/2026,0,,,,0,,0,0,,0,0,,,,
D101,,5/5/2026,0,,,,,,,,,,,,,,
D102,,5/5/2026,0,,,,,,,,,,,,,,
D201,,5/5/2026,0,,,,,,,,,,,,,,
D202,,5/5/2026,0,,,,,,,,,,,,,,
D301,04/01/2026,5/5/2026,9000,,9000,,,,,,,,,,,,
D302,,5/5/2026,0,3/31/2026,15000,Amma CanaraBank,0,,0,0,,0,0,,,,
C001,07/01/2026,6/5/2026,13000,,,,,,,,,,,,,,
C101,06/01/2026,6/5/2026,0,,,,,,,,,,,,,,
C102,04/01/2026,6/5/2026,21000,,,,,,,,,,,,,,
C201,04/03/2026,6/5/2026,10000,,,,,,,,,,,,,,
C202,,6/5/2026,14000,5/29/2026,,,,,,,,,,,,,
C301,06/17/2026,6/5/2026,10000,,,,,,,,,,,,,,
C302,04/01/2026,6/5/2026,14500,,,,,,,,,,,,,,
D001,03/01/2026,6/5/2026,0,,,,,,,,,,,,,,
D101,,6/5/2026,0,,,,,,,,,,,,,,
D102,,6/5/2026,0,,,,,,,,,,,,,,
D201,,6/5/2026,0,5/29/2026,5250,,,,,,,,,,,,
D202,,6/5/2026,0,,,,,,,,,,,,,,
D301,04/01/2026,6/5/2026,9000,,,,,,,,,,,,,,
D302,,6/5/2026,0,,,,,,,,,,,,,,
C001,,7/5/2026,13000,,0,,,,,,,,,,,,
C101,,7/5/2026,0,,0,,,,,,,,,,,,
C102,,7/5/2026,21000,,21000,,,,,,,,,,,,
C201,,7/5/2026,10000,,10000,,,,,,,,,,,,
C202,,7/5/2026,14000,,14000,,,,,,,,,,,,
C301,,7/5/2026,10000,,10000,,,,,,,,,,,,
C302,,7/5/2026,14500,,14500,,,,,,,,,,,,
D001,,7/5/2026,,,,,,,,,,,,,,,
D101,,7/5/2026,,,,,,,,,,,,,,,
D102,,7/5/2026,,,,,,,,,,,,,,,
D201,,7/5/2026,,,,,,,,,,,,,,,
D202,,7/5/2026,,,,,,,,,,,,,,,
D301,,7/5/2026,,,,,,,,,,,,,,,
D302,,7/5/2026,,,,,,,,,,,,,,,
C001,,8/5/2026,13000,,,,,,,,,,,,,,
C101,,8/5/2026,0,,,,,,,,,,,,,,
C102,,8/5/2026,21000,,,,,,,,,,,,,,
C201,,8/5/2026,10000,,,,,,,,,,,,,,
C202,,8/5/2026,14000,,,,,,,,,,,,,,
C301,,8/5/2026,10000,,,,,,,,,,,,,,
C302,,8/5/2026,14500,,,,,,,,,,,,,,
D001,,8/5/2026,,,,,,,,,,,,,,,
D101,,8/5/2026,,,,,,,,,,,,,,,
D102,,8/5/2026,,,,,,,,,,,,,,,
D201,,8/5/2026,,,,,,,,,,,,,,,
D202,,8/5/2026,,,,,,,,,,,,,,,
D301,,8/5/2026,,,,,,,,,,,,,,,
D302,,8/5/2026,,,,,,,,,,,,,,,
